demo,T,success,ted,sal,jerk,path_len
demo_0,122,0.0,0.0033513838871305902,46.28706816769873,7.5338169895407106,0.9128120438181326
demo_1,122,1.0,0.05956673771273796,30.652717030878684,6.7120414468528375,0.9111512490226849
demo_10,130,0.0,0.031896532687761596,50.087076150986036,8.367135942306184,0.8728624926202955
demo_100,89,0.0,0.032353007687946,26.862001098133238,10.037416750795824,0.6281226362619619
demo_101,98,1.0,0.04619073137716341,23.666381954098558,9.487026861203757,1.0084836509457304
demo_102,94,0.0,0.003976241127040178,28.05075064531855,10.205958941399102,0.6784410869411711
demo_103,121,1.0,0.01359539777164483,25.454281401000046,9.555202827494533,1.1896683678646862
demo_104,81,0.0,0.03489357164866091,22.346306269325787,10.036845877849217,0.6966741651657216
demo_105,99,1.0,0.012040285447569484,35.700536932746076,10.251671615397152,1.0427032986533828
demo_106,68,0.0,0.054158018467732695,20.95334138170061,9.826177081627387,0.5797801132531948
demo_107,86,1.0,0.032812923554404676,24.811322816033766,10.694220894897843,0.8161306593226556
demo_108,94,0.0,0.012865220884296345,23.8998441159948,8.44644104977257,0.7928365851770104
demo_109,147,1.0,0.04217557987764482,30.482062183176343,15.985964452056761,1.3908924310567716
demo_11,141,1.0,0.02774089745956403,46.8920626726186,9.901349042382131,1.3528771244340625
demo_110,80,0.0,0.01657839525151964,31.76173672012856,8.849734286590095,0.5540502050255629
demo_111,95,1.0,0.051897834546234915,34.74646356774727,8.703230112203272,0.9340850665058393
demo_112,93,0.0,0.0030309018716147234,26.19903340070464,9.335691553272914,0.8195330109249119
demo_113,137,1.0,0.005197676800797235,23.609292829635017,10.001572419005786,1.4716597194338616
demo_114,110,0.0,0.0037799651751321064,29.568238850071527,12.09296996139472,0.7590869389771345
demo_115,127,1.0,0.019905916527790196,24.375253479370166,10.828138758792964,1.3844019412016388
demo_116,103,0.0,0.1925638014099787,25.383193154632362,8.984425421256628,0.8103193566204467
demo_117,129,1.0,0.021651461571737057,29.741774288158332,8.869660937950753,1.3926947064114286
demo_118,80,0.0,0.03794895929531391,27.191650303966817,8.818875437234917,0.597329153792391
demo_119,91,1.0,0.06339480240141418,17.791600271381736,9.465220087853767,0.9713103016098196
demo_12,104,0.0,0.017304929454700083,33.83945886905888,11.538929202071794,0.8959110296068341
demo_120,100,0.0,0.00936986650634338,28.226567115467812,11.598742807264877,0.6562286365443373
demo_121,110,1.0,0.03198125488167325,22.447491700984653,9.269684476924057,0.9657369152757939
demo_122,84,0.0,0.02153791214256684,26.26134556373426,7.994775075891236,0.6893250239923085
demo_123,119,1.0,0.01226051738337016,31.08864342124124,10.712610132831363,1.206885014675475
demo_124,75,0.0,0.04811602124197836,26.47543724899339,8.147953415802862,0.5017141466235792
demo_125,88,1.0,0.019164251370008403,31.370239448073164,12.335429037684355,0.772598673297061
demo_126,88,0.0,0.024264735793337974,30.69178232347576,9.016877183708887,0.6752311573911056
demo_127,95,1.0,0.011249038268564276,33.011468457768856,11.385830990748014,0.8855834092313944
demo_128,89,0.0,0.03528040101411218,29.089560885545843,12.232044693896007,0.6602604427154515
demo_129,104,1.0,0.03735483966141402,23.447800719010967,9.01061499152053,0.989260391236918
demo_13,121,1.0,0.04702921439903131,50.598125246608646,11.864953982423978,1.1317438234179693
demo_130,85,0.0,0.0025810601262848116,35.69436989817032,11.58409760533549,0.6583067104559571
demo_131,95,1.0,0.03760652889642227,21.750374000778844,9.229390682768898,1.076961148832899
demo_132,60,0.0,0.0023531251832541395,32.503565796693586,11.773933474183256,0.44312608337845766
